Which 3 characters had the worst arc?
"Terezi Pyrope, Vriska Serket, Gamzee Makara"
"WV (sigh... ""The Mayor""), Damara Megido, Nepeta Leijon"
"Vriska Serket, Jake English, Other"
"Aranea Serket, Davepeta, Eridan Ampora"
"Eridan Ampora, Feferi Peixes, Caliborn"
"Nepeta Leijon, Equius Zahhak, Eridan Ampora"
"Vriska Serket, Feferi Peixes, Eridan Ampora"
""
"Nepeta Leijon, Equius Zahhak, Eridan Ampora"
"Davepeta, Davesprite, Lord English"
"Jade Harley, Nepeta Leijon, Feferi Peixes"
"Gamzee Makara, The Handmaid, Caliborn"
""
"Terezi Pyrope, Gamzee Makara, Jake English"
"Gamzee Makara, Vriska Serket, Eridan Ampora"
"Mituna Captor, Cronus Ampora, Grandpa Harley"
"Gamzee Makara, Nepeta Leijon, Equius Zahhak"
"Mom Lalonde, Bro Strider, Nepeta Leijon"
"Gamzee Makara, Eridan Ampora, Tavros Nitram"
"Caliborn, Aranea Serket, ARquius"
"Eridan Ampora, Meenah Peixes, The Handmaid"
"Feferi Peixes, Tavros Nitram, Nepeta Leijon"
"Vriska Serket, Dirk Strider, Aranea Serket"
"Rose Lalonde, Nepeta Leijon, Davepeta"
"Gamzee Makara, Feferi Peixes, Nepeta Leijon"
"Jake English, Jane Crocker, Gamzee Makara"
"Eridan Ampora, Gamzee Makara, Feferi Peixes"
""
"Aradia Megido, Jade Harley, CD"
"Equius Zahhak, Cronus Ampora, Horuss Zahhak"
"Jade Harley, Jane Crocker, Damara Megido"
"Jane Crocker, Sollux Captor, Aranea Serket"
"Vriska Serket, Rose Lalonde, Jade Harley"
"Nepeta Leijon, Jane Crocker, Other"
"Damara Megido, Jasprose, Davepeta"
"Feferi Peixes, Jack, all of them, Sollux Captor"
""
"Jade Harley, Equius Zahhak, Feferi Peixes"
"John Egbert, Nepeta Leijon, Equius Zahhak"
"Eridan Ampora, Gamzee Makara, Doc Scratch"
""
""
"Vriska Serket, Dirk Strider, Kanaya Maryam"
"Nepeta Leijon, Tavros Nitram, Equius Zahhak"
""
"John Egbert, Gamzee Makara, Nepeta Leijon"
"Tavros Nitram, Eridan Ampora, Karkat Vantas"
"Vriska Serket, Gamzee Makara, Caliborn"
"Equius Zahhak, Eridan Ampora, Jane Crocker"
""
"Gamzee Makara, Aranea Serket, Meenah Peixes"
""
"Equius Zahhak, Cronus Ampora, Kankri Vantas"
""
"Feferi Peixes, Sollux Captor, Kanaya Maryam"
""
"Gamzee Makara, Aradia Megido, Sollux Captor"
"Gamzee Makara, Jake English, Jane Crocker"
"Gamzee Makara, Calliope, ARquius"
"Dad Egbert, Bro Strider, Meenah Peixes"
"Sollux Captor, WV (sigh... ""The Mayor""), Gamzee Makara"
"Jake English, Gamzee Makara, Tavros Nitram"
"Gamzee Makara, Dirk Strider, Jane Crocker"
"Gamzee Makara, Jake English, Jane Crocker"
""
"Tavros Nitram, Jack Noir (B1), Becquerel"
"Feferi Peixes, Nepeta Leijon, Davesprite"
"Vriska Serket, Nepeta Leijon, Equius Zahhak"
"Jane Crocker, Nepeta Leijon, Feferi Peixes"
"Feferi Peixes, Jake English, Jane Crocker"
"Cronus Ampora, Kankri Vantas, Horuss Zahhak"
"Nepeta Leijon, Doc Scratch, Davesprite"
"Calliope, Karkat Vantas, Jane Crocker"
"SS, Gamzee Makara, Feferi Peixes"
""
"Gamzee Makara, Horuss Zahhak, Eridan Ampora"
"Nepeta Leijon, Equius Zahhak, Gamzee Makara"
"Tavros Nitram, ARquius, Equius Zahhak"
"Karkat Vantas, Terezi Pyrope, Bro Strider"
"Jade Harley, Vriska Serket, Rose Lalonde"
"Jade Harley, Jane Crocker, Aranea Serket"
"Rose Lalonde, Dave Strider, Karkat Vantas"
"Jade Harley, Gamzee Makara, Aranea Serket"
"Equius Zahhak, Lil Hal, Tavros Nitram"
"Jade Harley, Bro Strider, Dad Egbert"
"Kanaya Maryam, Rose Lalonde, Jane Crocker"
"Sollux Captor, Eridan Ampora, Equius Zahhak"
"Porrim Maryam, Rufioh Nitram, Horuss Zahhak"
""
""
"Jake English, Caliborn, The Condesce"
"John Egbert, Vriska Serket, Davesprite"
"Vriska Serket, Gamzee Makara, Cronus Ampora"
"Eridan Ampora, Gamzee Makara, Equius Zahhak"
"Lord English, Davepeta, Calliope"
"Feferi Peixes, Eridan Ampora, Equius Zahhak"
"Sollux Captor, Damara Megido, Mituna Captor"
""
"Nepeta Leijon, Jane Crocker, Feferi Peixes"
""
"Dirk Strider, Jake English, Gamzee Makara"
"Damara Megido, The Condesce, Meulin Leijon"
"Gamzee Makara, AR, Jane Crocker"
""
"Eridan Ampora, Gamzee Makara, Aradia Megido"
"Jade Harley, Feferi Peixes, Nepeta Leijon"
""
"Feferi Peixes, Latula Pyrope, Horuss Zahhak"
""
"Tavros Nitram, Jake English, Dirk Strider"
""
""
"Jade Harley, Terezi Pyrope, Becquerel"
