Which 3 characters had the best complete arc?
"John Egbert, WV (sigh... ""The Mayor""), Davesprite"
"John Egbert, Rose Lalonde, Dave Strider"
"Karkat Vantas, Dave Strider, Vriska Serket"
""
"Vriska Serket, Dave Strider, PM"
"Vriska Serket, Dirk Strider, Dave Strider"
"Karkat Vantas, Caliborn, Roxy Lalonde"
"Dave Strider, Terezi Pyrope, Rose Lalonde"
"John Egbert, Tavros Nitram, Terezi Pyrope"
"Caliborn, Dirk Strider, Dave Strider"
""
"Dave Strider, Vriska Serket, Terezi Pyrope"
"Eridan Ampora, Vriska Serket, Roxy Lalonde"
"Gamzee Makara, WV (sigh... ""The Mayor""), Dad Egbert"
"Jade Harley, Karkat Vantas, Terezi Pyrope"
"Aradia Megido, Eridan Ampora, WV (sigh... ""The Mayor"")"
""
""
"Vriska Serket, Karkat Vantas, John Egbert"
"Tavros Nitram, Kanaya Maryam, Karkat Vantas"
"Karkat Vantas, Vriska Serket, Gamzee Makara"
"Rose Lalonde, Vriska Serket, Equius Zahhak"
"John Egbert, Vriska Serket, Dave Strider"
"Vriska Serket, Dave Strider, Terezi Pyrope"
"Dave Strider, Dirk Strider, Kanaya Maryam"
"Dave Strider, Rose Lalonde, Terezi Pyrope"
"Karkat Vantas, Vriska Serket, WV (sigh... ""The Mayor"")"
"John Egbert, Rose Lalonde, Dave Strider"
"Dave Strider, Aradia Megido, Terezi Pyrope"
"Aradia Megido, Rose Lalonde, Dave Strider"
"Dave Strider, Roxy Lalonde, Gamzee Makara"
"Terezi Pyrope, Vriska Serket, Aradia Megido"
"Vriska Serket, John Egbert, Karkat Vantas"
"Roxy Lalonde, John Egbert, Rose Lalonde"
"Kanaya Maryam, Rose Lalonde, Vriska Serket"
"Vriska Serket, Dave Strider, Karkat Vantas"
"John Egbert, Caliborn, Lil Hal"
"Dave Strider, John Egbert, Dirk Strider"
"Vriska Serket, WV (sigh... ""The Mayor""), John Egbert"
"Karkat Vantas, Tavros Nitram, Roxy Lalonde"
"Terezi Pyrope, Kanaya Maryam, Davepeta"
"Jade Harley, Dave Strider, John Egbert"
"Karkat Vantas, SS, Dave Strider"
"Terezi Pyrope, John Egbert, Dirk Strider"
""
"Dave Strider, Karkat Vantas, Mituna Captor"
"Bro Strider, Dad Egbert, Karkat Vantas"
"Vriska Serket, Rose Lalonde, Jade Harley"
"Karkat Vantas, Bro Strider, Dirk Strider"
"Dave Strider, Karkat Vantas, Terezi Pyrope"
"Dave Strider, Karkat Vantas, Jade Harley"
""
"John Egbert, Vriska Serket, Rose Lalonde"
"SS, Rose Lalonde, Aradia Megido"
"Roxy Lalonde, Dave Strider, Vriska Serket"
""
"Dave Strider, Karkat Vantas, Vriska Serket"
""
"John Egbert, Vriska Serket, Karkat Vantas"
"Roxy Lalonde, Lord English, Dave Strider"
"John Egbert, Rose Lalonde, Vriska Serket"
"Karkat Vantas, John Egbert, Dave Strider"
"Dave Strider, Jake English, Roxy Lalonde"
"Roxy Lalonde, John Egbert, Kanaya Maryam"
"Sollux Captor, PM, Aradia Megido"
"John Egbert, Vriska Serket, Karkat Vantas"
"Dave Strider, Terezi Pyrope, Roxy Lalonde"
"Vriska Serket, Meenah Peixes, Karkat Vantas"
"Dave Strider, Vriska Serket, Roxy Lalonde"
"Dave Strider, John Egbert, Caliborn"
"Dave Strider, Terezi Pyrope, John Egbert"
"Dave Strider, Vriska Serket, Tavros Nitram"
""
"Rose Lalonde, John Egbert, Vriska Serket"
"Terezi Pyrope, Calliope, Caliborn"
""
"Dad Egbert, Aradia Megido, Damara Megido"
"John Egbert, Karkat Vantas, Nepeta Leijon"
"Rose Lalonde, Aradia Megido, Dave Strider"
"John Egbert, Caliborn, Doc Scratch"
""
