Select your 3 favorite characters!
"Dirk Strider, Jade Harley, Karkat Vantas"
"Sollux Captor, Dave Strider, Tavros Nitram"
"Karkat Vantas, Nepeta Leijon, Dirk Strider"
"Calliope, Equius Zahhak, Nepeta Leijon"
"Kanaya Maryam, Nepeta Leijon, Roxy Lalonde"
"Feferi Peixes, Aradia Megido, Jade Harley"
"Porrim Maryam, Damara Megido, Jade Harley"
"Aradia Megido, Dad Egbert, John Egbert"
"Dave Strider, Roxy Lalonde, Dirk Strider"
"Gamzee Makara, Terezi Pyrope, Karkat Vantas"
"John Egbert, Roxy Lalonde, Vriska Serket"
"Nepeta Leijon, Terezi Pyrope, Kanaya Maryam"
"Karkat Vantas, John Egbert, joey claire"
"Karkat Vantas, Dirk Strider, John Egbert"
"John Egbert, Dad Egbert, Lord English"
"Jade Harley, Terezi Pyrope, Davesprite"
"Kanaya Maryam, John Egbert, Davesprite"
"Aradia Megido, Kanaya Maryam, Terezi Pyrope"
"Karkat Vantas, signless, Sollux Captor"
"John Egbert, Terezi Pyrope, Tavros Nitram"
"Dave Strider, Karkat Vantas, Terezi Pyrope"
"Jade Harley, Dave Strider, Caliborn"
"Tavros Nitram, Nepeta Leijon, Gamzee Makara"
"Vriska Serket, Equius Zahhak, Kankri Vantas"
"Tavros Nitram, Dirk Strider, Jake English"
"Vriska Serket, Meenah Peixes, Terezi Pyrope"
"Karkat Vantas, Gamzee Makara, Jade Harley"
"Karkat Vantas, Vriska Serket, Rose Lalonde"
"Dave Strider, Dirk Strider, Meenah Peixes"
"Grandpa Harley, Dirk Strider, Jake English"
"Terezi Pyrope, Vriska Serket, Feferi Peixes"
"John Egbert, Tavros Nitram, Jake English"
"Dave Strider, Gamzee Makara, Roxy Lalonde"
"Mituna Captor, Feferi Peixes, John Egbert"
"Dave Strider, Jade Harley, Caliborn"
"SS, DD, CD"
"Equius Zahhak, Roxy Lalonde, John Egbert"
"Eridan Ampora, Cronus Ampora, Jade Harley"
"Davesprite, WV (sigh... ""The Mayor""), Becquerel"
"Jade Harley, John Egbert, Terezi Pyrope"
"Jane Crocker, Equius Zahhak, John Egbert"
""
"Rose Lalonde, John Egbert, SS"
"Vriska Serket, Jade Harley, Roxy Lalonde"
"Rose Lalonde, Vriska Serket, Karkat Vantas"
"Roxy Lalonde, Kanaya Maryam, Rose Lalonde"
"Aradia Megido, Dirk Strider, Davesprite"
"Rose Lalonde, Roxy Lalonde, Davesprite"
"Dave Strider, Tavros Nitram, John Egbert"
"John Egbert, Equius Zahhak, Nepeta Leijon"
