Select your 3 least favorite characters!
"Dave Strider, Eridan Ampora, Equius Zahhak"
"Calliope, Bro Strider, Latula Pyrope"
"Cronus Ampora, Equius Zahhak, Eridan Ampora"
"Vriska Serket, Dirk Strider, Jane Crocker"
"Horuss Zahhak, Equius Zahhak, Jake English"
"Bro Strider, Lil Hal, Rufioh Nitram"
"Jane Crocker, Jake English, Gamzee Makara"
"Gamzee Makara, Tavros Nitram, Cronus Ampora"
""
"Kankri Vantas, Jake English, Cronus Ampora"
"Eridan Ampora, Davepeta, Tavros Nitram"
"Kankri Vantas, Caliborn, Lil Hal"
"Cronus Ampora, Kankri Vantas, Damara Megido"
"Tavros Nitram, Roxy Lalonde, Dad Egbert"
"Eridan Ampora, Gamzee Makara, Doc Scratch"
"Cronus Ampora, Aranea Serket, Caliborn"
"Davepeta, Horuss Zahhak, Other"
"Eridan Ampora, Lil Hal, Kankri Vantas"
"Equius Zahhak, Doc Scratch, ARquius"
"Aranea Serket, Damara Megido, Horuss Zahhak"
"Calliope, Gamzee Makara, Jake English"
"Calliope, Aranea Serket, Horuss Zahhak"
"Jane Crocker, Caliborn, Rufioh Nitram"
"Caliborn, Lil Hal, Jane Crocker"
"Gamzee Makara, Jake English, Eridan Ampora"
"Gamzee Makara, Eridan Ampora, Aranea Serket"
"Gamzee Makara, Eridan Ampora, ARquius"
"Cronus Ampora, Horuss Zahhak, Rufioh Nitram"
""
"Cronus Ampora, Equius Zahhak, Jack Noir (B1)"
""
"Equius Zahhak, Gamzee Makara, Cronus Ampora"
"Jane Crocker, Aranea Serket, Jade Harley"
"Cronus Ampora, Damara Megido, Horuss Zahhak"
"Aranea Serket, Damara Megido, The Condesce"
"Dave Strider, Bro Strider, Lil Hal"
"Doc Scratch, Vriska Serket, Rufioh Nitram"
"Gamzee Makara, Tavros Nitram, Other"
"Eridan Ampora, Grandpa Harley, Dad Egbert"
"Feferi Peixes, AR, Aranea Serket"
"Gamzee Makara, Vriska Serket, Eridan Ampora"
"Vriska Serket, Doc Scratch, Cronus Ampora"
"Jade Harley, Feferi Peixes, Jane Crocker"
"Vriska Serket, Damara Megido, Jake English"
"Eridan Ampora, Bro Strider, Horuss Zahhak"
"Doc Scratch, Bro Strider, Vriska Serket"
"SS, DD, HB"
"Vriska Serket, Jane Crocker, Calliope"
"Other, Rose Lalonde, Jade Harley"
"The Handmaid, Jack Noir (B1), Other"
"Vriska Serket, Bro Strider, Dirk Strider"
"Lil Hal, Meenah Peixes, Bro Strider"
"Kurloz Makara, Jack Noir (B1), Damara Megido"
"Eridan Ampora, Equius Zahhak, Lil Hal"
"Eridan Ampora, Doc Scratch, ARquius"
"Vriska Serket, Bro Strider, Jack Noir (B1)"
"Kankri Vantas, Cronus Ampora, Lil Hal"
"Lord English, Eridan Ampora, Davepeta"
""
"Caliborn, Lord English, Gamzee Makara"
"Cronus Ampora, Kankri Vantas, Feferi Peixes"
"Cronus Ampora, Aranea Serket, Horuss Zahhak"
"Kurloz Makara, Cronus Ampora, Bro Strider"
"Cronus Ampora, Porrim Maryam, Horuss Zahhak"
"Kurloz Makara, Kankri Vantas, The Handmaid"
"Aranea Serket, ARquius, Lil Hal"
"HB, Cronus Ampora, Grandpa Harley"
"Sollux Captor, Equius Zahhak, Eridan Ampora"
"Gamzee Makara, Cronus Ampora, Jane Crocker"
"Feferi Peixes, Rufioh Nitram, Jade Harley"
"Nepeta Leijon, Bro Strider, Meulin Leijon"
"Aranea Serket, Eridan Ampora, Meenah Peixes"
"Eridan Ampora, Doc Scratch, Cronus Ampora"
"Jane Crocker, Latula Pyrope, Damara Megido"
"Equius Zahhak, Calliope, Cronus Ampora"
"Aranea Serket, Damara Megido, Rufioh Nitram"
"Bro Strider, Grandpa Harley, Caliborn"
"Equius Zahhak, Caliborn, Calliope"
"Gamzee Makara, ARquius, Feferi Peixes"
"Bro Strider, Cronus Ampora, Kankri Vantas"
"Horuss Zahhak, Cronus Ampora, dad egbert better"
"Bro Strider, Doc Scratch, Eridan Ampora"
"Cronus Ampora, Kankri Vantas, Aranea Serket"
"Vriska Serket, Roxy Lalonde, Mom Lalonde"
"Kankri Vantas, Lil Hal, Eridan Ampora"
"Eridan Ampora, Tavros Nitram, Caliborn"
"Aranea Serket, Bro Strider, Doc Scratch"
"Vriska Serket, Dave Strider, Aranea Serket"
"Eridan Ampora, Cronus Ampora, Jane Crocker"
"Gamzee Makara, ARquius, Cronus Ampora"
""
"Lil Hal, Meenah Peixes, Jane Crocker"
"Gamzee Makara, Caliborn, Kurloz Makara"
"Vriska Serket, , Cronus Ampora"
"Eridan Ampora, Cronus Ampora, Bro Strider"
"Vriska Serket, Gamzee Makara, Kankri Vantas"
"John Egbert, Karkat Vantas, Vriska Serket"
"Cronus Ampora, Damara Megido, Bro Strider"
"Cronus Ampora, Jane Crocker, Meenah Peixes"
"Gamzee Makara, Vriska Serket, Lil Hal"
"Feferi Peixes, The Handmaid, Jasprose"
"Rufioh Nitram, Cronus Ampora, AR"
"Vriska Serket, Jack Noir (B1), Kankri Vantas"
"Bro Strider, Lord English, Vriska Serket"
"Mom Lalonde, Lil Hal, Kankri Vantas"
"Equius Zahhak, Lord English, Bro Strider"
"Gamzee Makara, Jack Noir (B1), Aranea Serket"
"Jake English, Rufioh Nitram, Bro Strider"
"Vriska Serket, Eridan Ampora, Jasprose"
"Cronus Ampora, Lil Hal, Jasprose"
"Jake English, Jane Crocker, Dirk Strider"
"Equius Zahhak, Mituna Captor, Cronus Ampora"
""
"Jane Crocker, The Handmaid, Horuss Zahhak"
"Gamzee Makara, Feferi Peixes, Aranea Serket"
"Davepeta, Horuss Zahhak, ARquius"
"Horuss Zahhak, Cronus Ampora, Damara Megido"
"Everything that isn't Jade Harley, John Egbert, Dave Strider"
"Caliborn, Eridan Ampora, Jake English"
"Equius Zahhak, Tavros Nitram, Cronus Ampora"
"Equius Zahhak, Rufioh Nitram, Horuss Zahhak"
"Gamzee Makara, Eridan Ampora, Caliborn"
""
"Dave Strider, Cronus Ampora, Eridan Ampora"
"Eridan Ampora, Jane Crocker, Feferi Peixes"
"Vriska Serket, Bro Strider, Caliborn"
"Caliborn, Doc Scratch, Lord English"
"Horuss Zahhak, Doc Scratch, Caliborn"
"Vriska Serket, Lord English, Doc Scratch"
"Damara Megido, Tavros Nitram, ARquius"
""
"Equius Zahhak, Dad Egbert, Bro Strider"
"Horuss Zahhak, Damara Megido, Cronus Ampora"
"Jane Crocker, Jake English, Roxy Lalonde"
"Bro Strider, Meenah Peixes, Aranea Serket"
"Vriska Serket, Equius Zahhak, Bro Strider"
"Lil Hal, Lord English, Jane Crocker"
"Karkat Vantas, Vriska Serket, Eridan Ampora"
"Kankri Vantas, Kurloz Makara, Feferi Peixes"
"Equius Zahhak, Tavros Nitram, Cronus Ampora"
"Gamzee Makara, Bro Strider, Lil Hal"
"Lord English, Horuss Zahhak, Feferi Peixes"
"Kankri Vantas, Jane Crocker, Mituna Captor"
"Caliborn, Dirk Strider, Bro Strider"
"Meenah Peixes, Tavros Nitram, Jane Crocker"
"Bro Strider, Doc Scratch, The Condesce"
"Caliborn, Bro Strider, "
"Damara Megido, Cronus Ampora, Horuss Zahhak"
"Gamzee Makara, Horuss Zahhak, Rufioh Nitram"
"Eridan Ampora, Equius Zahhak, Gamzee Makara"
"Vriska Serket, Gamzee Makara, Sollux Captor"
"Jane Crocker, Feferi Peixes, Bro Strider"
""
"Aranea Serket, Caliborn, Doc Scratch"
"Eridan Ampora, Mom Lalonde, The Condesce"
"Vriska Serket, Eridan Ampora, Kankri Vantas"
"Tavros Nitram, Feferi Peixes, Vriska Serket"
"Doc Scratch, Roxy Lalonde, Jade Harley"
"Equius Zahhak, Jake English, Damara Megido"
"Bro Strider, Doc Scratch, Cronus Ampora"
"Dirk Strider, Equius Zahhak, Jane Crocker"
"Bro Strider, Gamzee Makara, Jane Crocker"
"Bro Strider, Mituna Captor, Mom Lalonde"
"Nannasprite, Kankri Vantas, Horuss Zahhak"
"Bro Strider, Cronus Ampora, Eridan Ampora"
"Rufioh Nitram, Horuss Zahhak, Cronus Ampora"
"Horuss Zahhak, Eridan Ampora, Gamzee Makara"
"Terezi Pyrope, Jade Harley, Jake English"
"Aranea Serket, AR, Eridan Ampora"
"Equius Zahhak, Bro Strider, Kurloz Makara"
"Caliborn, Cronus Ampora, Bro Strider"
"Equius Zahhak, Nannasprite, ARquius"
"Cronus Ampora, Damara Megido, Jane Crocker"
"Jake English, Equius Zahhak, Gamzee Makara"
"Eridan Ampora, Jack Noir (B1), Doc Scratch"
"Lord English, Caliborn, Kankri Vantas"
"Bro Strider, Caliborn, Lil Hal"
"Gamzee Makara, Cronus Ampora, Doc Scratch"
"Aranea Serket, Caliborn, The Condesce"
"Gamzee Makara, Cronus Ampora, Doc Scratch"
"Horuss Zahhak, Damara Megido, Mituna Captor"
"Cronus Ampora, Caliborn, Rufioh Nitram"
"Gamzee Makara, Kankri Vantas, Equius Zahhak"
"Eridan Ampora, Vriska Serket, Jane Crocker"
""
"Meenah Peixes, Vriska Serket, Eridan Ampora"
"Vriska Serket, Doc Scratch, SS"
"Gamzee Makara, Damara Megido, Kankri Vantas"
"Equius Zahhak, Jane Crocker, Horuss Zahhak"
"Jane Crocker, Jake English, Davepeta"
"Vriska Serket, Aranea Serket, Dirk Strider"
"Eridan Ampora, Lord English, Kankri Vantas"
"Jake English, Davepeta, Eridan Ampora"
"Bro Strider, Jake English, Meenah Peixes"
"Terezi Pyrope, Vriska Serket, Jane Crocker"
"Jasprose, Davepeta, N/A"
"Caliborn, Calliope, Lord English"
"Terezi Pyrope, Aradia Megido, Feferi Peixes"
"Jade Harley, Lil Hal, Calliope"
"Rufioh Nitram, Lord English, Jack Noir (B1)"
"Bro Strider, Cronus Ampora, Damara Megido"
"Meenah Peixes, Caliborn, Jake English"
"Doc Scratch, Eridan Ampora, Bro Strider"
"Jake English, Vriska Serket, Eridan Ampora"
"Gamzee Makara, Vriska Serket, Equius Zahhak"
"Gamzee Makara, Eridan Ampora, Cronus Ampora"
"Cronus Ampora, Horuss Zahhak, Eridan Ampora"
"Sollux Captor, Jade Harley, Bro Strider"
"Damara Megido, Gamzee Makara, Equius Zahhak"
"Tavros Nitram, Meenah Peixes, Meulin Leijon"
"Karkat Vantas, Vriska Serket, Aradia Megido"
"Gamzee Makara, Grandpa Harley, Aradia Megido"
"Equius Zahhak, Eridan Ampora, John Egbert"
"Doc Scratch, Lord English, Caliborn"
""
"Cronus Ampora, Lord English, Doc Scratch"
"Dirk Strider, Cronus Ampora, ARquius"
""
"Eridan Ampora, Cronus Ampora, Kankri Vantas"
""
"Vriska Serket, The Entirety Of The Beforus Trolls, Jade Harley"
"Equius Zahhak, Eridan Ampora, Jade Harley"
"Gamzee Makara, Eridan Ampora, The Condesce"
"Cronus Ampora, Jane Crocker, Gamzee Makara"
"Eridan Ampora, Lil Hal, Caliborn"
"Gamzee Makara, Eridan Ampora, Equius Zahhak"
"Feferi Peixes, Grandpa Harley, Lord English"
"Vriska Serket, Jane Crocker, Aranea Serket"
"Equius Zahhak, Tavros Nitram, Caliborn"
"Eridan Ampora, Caliborn, Doc Scratch"
"Terezi Pyrope, Vriska Serket, Jake English"
"Bro Strider, Cronus Ampora, Vriska Serket"
"Bro Strider, HB, Jack Noir (B1)"
"Equius Zahhak, Dirk Strider, Cronus Ampora"
"Equius Zahhak, ARquius, Bro Strider"
""
"Sollux Captor, Eridan Ampora, Bro Strider"
"Gamzee Makara, Vriska Serket, Equius Zahhak"
"Bro Strider, Mituna Captor, Damara Megido"
"Vriska Serket, Cronus Ampora, Lord English"
"Cronus Ampora, Lord English, Grandpa Harley"
"Gamzee Makara, Bro Strider, Kurloz Makara"
"Terezi Pyrope, Kanaya Maryam, Vriska Serket"
"Feferi Peixes, Jake English, Kankri Vantas"
"Lord English, Kankri Vantas, Caliborn"
"Dirk Strider, Gamzee Makara, Kankri Vantas"
"Sollux Captor, Bro Strider, Eridan Ampora"
"Jake English, Jane Crocker, Calliope"
"Cronus Ampora, Aranea Serket, Caliborn"
"Tavros Nitram, Lil Hal, Calliope"
"Lil Hal, Lord English, Smuppets."
"DD, HB, AR"
"Jane Crocker, Jack Noir (B1), Aranea Serket"
"I try not to have least faves, even the ones I find annoying usually have something interesting to say. my real answer would be ""three very minor characters that didn't have much impact"" and there are a lot of those, AR, HB"
"Bro Strider, Mom Lalonde, Doc Scratch"
"Kankri Vantas, Cronus Ampora, Doc Scratch"
"Eridan Ampora, Nepeta Leijon, Tavros Nitram"
"Gamzee Makara, Cronus Ampora, Tavros Nitram"
"Tavros Nitram, Sollux Captor, Cronus Ampora"
"Bro Strider, Doc Scratch, Mom Lalonde"
"Cronus Ampora, Horuss Zahhak, Rufioh Nitram"
"Nannasprite, AR, Davesprite"
"Lil Hal, Cronus Ampora, Kankri Vantas"
"Kankri Vantas, Tavros Nitram, Eridan Ampora"
"Cronus Ampora, Dave Strider, Davesprite"
"Eridan Ampora, Bro Strider, Jane Crocker"
"Vriska Serket, Meenah Peixes, Cronus Ampora"
"Tavros Nitram, Jane Crocker, Aranea Serket"
"Gamzee Makara, Bro Strider, WV (sigh... ""The Mayor"")"
""
"Cronus Ampora, Jake English, Bro Strider"
"Vriska Serket, Jane Crocker, Cronus Ampora"
"Vriska Serket, Dirk Strider, Kankri Vantas"
"Cronus Ampora, Kurloz Makara, Kankri Vantas"
"Cronus Ampora, Eridan Ampora, Kurloz Makara"
"Eridan Ampora, Equius Zahhak, Porrim Maryam"
"Calliope, Jane Crocker, Tavros Nitram"
"Eridan Ampora, Equius Zahhak, Bro Strider"
"Eridan Ampora, Cronus Ampora, Vriska Serket"
"Eridan Ampora, Bro Strider, Caliborn"
"Gamzee Makara, Vriska Serket, Dirk Strider"
"John Egbert, Eridan Ampora, Bro Strider"
"Equius Zahhak, Tavros Nitram, Eridan Ampora"
"Sollux Captor, Eridan Ampora, Equius Zahhak"
"Bro Strider, Jake English, Feferi Peixes"
"Equius Zahhak, Eridan Ampora, Jake English"
"Eridan Ampora, Equius Zahhak, Feferi Peixes"
""
"Eridan Ampora, Equius Zahhak, Cronus Ampora"
"Vriska Serket, Bro Strider, Jane Crocker"
"Bro Strider, Cronus Ampora, Doc Scratch"
"Vriska Serket, Jane Crocker, Eridan Ampora"
"Vriska Serket, Bro Strider, Rufioh Nitram"
"Eridan Ampora, Cronus Ampora, Calliope"
"Gamzee Makara, Eridan Ampora, Davepeta"
"Vriska Serket, ARquius, Cronus Ampora"
""
"Cronus Ampora, Horuss Zahhak, Kankri Vantas"
"Cronus Ampora, ARquius, Dirk Strider"
""
"Vriska Serket, Gamzee Makara, Eridan Ampora"
"Cronus Ampora, Equius Zahhak, Hearts Boxcars (or whatever his Dersian title is)"
"Tavros Nitram, Feferi Peixes, Aradia Megido"
"Kankri Vantas, Eridan Ampora, Lil Hal"
"Doc Scratch, The Condesce, Meenah Peixes"
"Jake English, Dirk Strider, Meenah Peixes"
"Horuss Zahhak, Rufioh Nitram, Lil Hal"
"Vriska Serket, Bro Strider, I don’t really dislike m/any homestuck characters, just feel apathy towards them"
"Vriska Serket, Meenah Peixes, Jasprose"
"Caliborn, Lil Hal, Bro Strider"
"Meenah Peixes, Bro Strider, Jane Crocker"
"Jasprose, Davepeta, Meenah Peixes"
"Tavros Nitram, Caliborn, Damara Megido"
"Karkat Vantas, WV (sigh... ""The Mayor""), Nannasprite"
"Eridan Ampora, Calliope, Nanna"
"Tavros Nitram, Dirk Strider, Doc Scratch"
"Aranea Serket, Kankri Vantas, Davepeta"
"Dirk Strider, Jade Harley, Feferi Peixes"
"Doc Scratch, ARquius, Cronus Ampora"
"Sollux Captor, Grandpa Harley, Kankri Vantas"
"Cronus Ampora, Damara Megido, Kankri Vantas"
"Cronus Ampora, Damara Megido, Porrim Maryam"
"Gamzee Makara, Kurloz Makara, Terezi Pyrope"
"Vriska Serket, Doc Scratch, Cronus Ampora"
"Vriska Serket, Caliborn, Aranea Serket"
"Vriska Serket, Jane Crocker, Eridan Ampora"
"Gamzee Makara, Caliborn, Doc Scratch"
"Lil Hal, Meenah Peixes, Gamzee Makara"
"Dirk Strider, Damara Megido, Lil Hal"
"Lil Hal, Caliborn, Horuss Zahhak"
"Equius Zahhak, Lord English, Jack Noir (B1)"
"Horuss Zahhak, Caliborn, ARquius"
"Eridan Ampora, Equius Zahhak, Lil Hal"
"Feferi Peixes, Tavros Nitram, Equius Zahhak"
"Cronus Ampora, Eridan Ampora, Meenah Peixes"
"Gamzee Makara, Feferi Peixes, Bro Strider"
"Gamzee Makara, Eridan Ampora, Meenah Peixes"
"Cronus Ampora, Kankri Vantas, Im a huge non hater sorry"
"Eridan Ampora, Gamzee Makara, Jake English"
"Gamzee Makara, Eridan Ampora, Dirk Strider"
"Eridan Ampora, Jane Crocker, Grandpa Harley"
"Vriska Serket, Bro Strider, Doc Scratch"
"Gamzee Makara, Cronus Ampora, Caliborn"
"Doc Scratch, Kankri Vantas, Cronus Ampora"
"Dirk's red glasses, Karkat Vantas, Gamzee Makara"
"Dave Strider, Terezi Pyrope, Jake English"
"Gamzee Makara, Cronus Ampora, Eridan Ampora"
"Vriska Serket, Bro Strider, Jack Noir (B1)"
"Aranea Serket, Latula Pyrope, Caliborn"
"Caliborn, Meenah Peixes, Cronus Ampora"
"Equius Zahhak, Eridan Ampora, Feferi Peixes"
"Jane Crocker, Jake English, Nannasprite"
"Gamzee Makara, Eridan Ampora, The Condesce"
"John Egbert, Feferi Peixes, Kankri Vantas"
"Kankri Vantas, Cronus Ampora, Mituna Captor"
"Cronus Ampora, Eridan Ampora, Horuss Zahhak"
"Vriska Serket, Aranea Serket, Damara Megido"
"Vriska Serket, Meenah Peixes, Lord English"
""
"Horuss Zahhak, Eridan Ampora, Cronus Ampora"
"Gamzee Makara, Eridan Ampora, Jane Crocker"
"Eridan Ampora, Horuss Zahhak, Kankri Vantas"
"Tavros Nitram, Jake English, Equius Zahhak"
"Horuss Zahhak, Cronus Ampora, Rufioh Nitram"
"Mom Lalonde, Damara Megido, Aranea Serket"
"Aradia Megido, Rose Lalonde, Feferi Peixes"
"Horuss Zahhak, Bro Strider, Lord English"
"Vriska Serket, Doc Scratch, Eridan Ampora"
"Bro Strider, Lord English, The Condesce"
"Eridan Ampora, Equius Zahhak, Cronus Ampora"
"Jade Harley, Equius Zahhak, Jane Crocker"
"Bro Strider, Doc Scratch, Caliborn"
"Gamzee Makara, Eridan Ampora, Aranea Serket"
"Dave Strider, Vriska Serket, Gamzee Makara"
"Kurloz Makara, ARquius, Lord English"
"Cronus Ampora, Bro Strider, Lil Hal"
"Dirk Strider, Equius Zahhak, Tavros Nitram"
"Equius Zahhak, Eridan Ampora, Caliborn"
"Jane Crocker, Doc Scratch, Cronus Ampora"
"Caliborn, Davepeta, Kankri Vantas"
"Feferi Peixes, Doc Scratch, Jake English"
"Eridan Ampora, Cronus Ampora, ARquius"
"Tavros Nitram, Kankri Vantas, Jane Crocker"
"Equius Zahhak, Eridan Ampora, Caliborn"
"Horuss Zahhak, Cronus Ampora, Kankri Vantas"
"Eridan Ampora, Bro Strider, Cronus Ampora"
"Kurloz Makara, Meenah Peixes, Gamzee Makara"
"Gamzee Makara, Eridan Ampora, Equius Zahhak"
"Tavros Nitram, Vriska Serket, Feferi Peixes"
"Rufioh Nitram, Vriska Serket, Aranea Serket"
""
"ARquius, Mituna Captor, Horuss Zahhak"
"Eridan Ampora, Gamzee Makara, Sollux Captor"
"Gamzee Makara, Eridan Ampora, Lil Hal"
"Kankri Vantas, Damara Megido, Rufioh Nitram"
"Cronus Ampora, Eridan Ampora, Kankri Vantas"
"Caliborn, Cronus Ampora, Kankri Vantas"
"AR, Kankri Vantas, Jasprose"
"Sollux Captor, Equius Zahhak, Gamzee Makara"
"Eridan Ampora, Calliope, Doc Scratch"
"Gamzee Makara, Eridan Ampora, Cronus Ampora"
"Doc Scratch, Cronus Ampora, Mom Lalonde"
"Equius Zahhak, Nannasprite, Lord English"
"Davesprite, Davepeta, Jasprose"
"Kanaya Maryam, Grandpa Harley, Jack Noir (B1)"
"Vriska Serket, Cronus Ampora, Gamzee Makara"
"Eridan Ampora, Equius Zahhak, Caliborn"
"Lord English, Lil Hal, Doc Scratch"
"Aranea Serket, Cronus Ampora, calsprite"
"Feferi Peixes, Caliborn, Cronus Ampora"
"Doc Scratch, Cronus Ampora, Aranea Serket"
"Cronus Ampora, Caliborn, Ult Dirk >:("
"Cronus Ampora, Calliope, Doc Scratch"
""
""
"Tavros Nitram, Horuss Zahhak, Equius Zahhak"
"Calliope, Cronus Ampora, Gamzee Makara"
"Eridan Ampora, Lord English, Doc Scratch"
"Vriska Serket, Jack Noir (B1), Meenah Peixes"
"Caliborn, The Condesce, ARquius"
"Cronus Ampora, Damara Megido, Kankri Vantas"
"Eridan Ampora, Cronus Ampora, Dirk Strider"
"Jasprose, Horuss Zahhak, Rufioh Nitram"
"Doc Scratch, Cronus Ampora, Eridan Ampora"
"Kankri Vantas, Eridan Ampora, Cronus Ampora"
"Doc Scratch, Aranea Serket, Mituna Captor"
"Horuss Zahhak, Grandpa Harley, Other"
"Vriska Serket, Jake English, Tavros Nitram (Makin you hack he's still not there))"
"Cronus Ampora, Aranea Serket, Sollux Captor"
"Feferi Peixes, Aranea Serket, Jane Crocker"
"Cronus Ampora, WV (sigh... ""The Mayor""), Lord English"
"WV (sigh... ""The Mayor""), Jake English, Kankri Vantas"
"Vriska Serket, Cronus Ampora, Horuss Zahhak"
"WV (sigh... ""The Mayor""), Vriska Serket, Gamzee Makara"
"Feferi Peixes, Bro Strider, Horuss Zahhak"
"Damara Megido, Mituna Captor, Cronus Ampora"
"Cronus Ampora, Bro Strider, Jasprose"
"Vriska Serket, Lord English, Bro Strider"
"Gamzee Makara, Tavros Nitram, Eridan Ampora"
""
"Vriska Serket, Caliborn, Eridan Ampora"
"Equius Zahhak, Bro Strider, Cronus Ampora"
"Eridan Ampora, Aradia Megido, Tavros Nitram"
"Jake English, Mituna Captor, Cronus Ampora"
"Bro Strider, Aranea Serket, Kankri Vantas"
"ARquius, Tavros Nitram, Jasprose"
"Vriska Serket, Gamzee Makara, Bro Strider"
"Jake English, Lil Hal, Cronus Ampora"
"Vriska Serket, Calliope, Lord English"
"Vriska Serket, Mituna Captor, Horuss Zahhak"
"Eridan Ampora, Doc Scratch, Damara Megido"
""
"Doc Scratch, Lord English, Vriska Serket"
"The Condesce, Cronus Ampora, Jake English"
"Gamzee Makara, Tavros Nitram, Cronus Ampora"
"Rufioh Nitram, Gamzee Makara, Kurloz Makara"
"none, none, none, HB, SS"
"Eridan Ampora, Caliborn, Equius Zahhak"
"Gamzee Makara, Feferi Peixes, Jane Crocker"
"Equius Zahhak, Caliborn, Kankri Vantas"
"Kankri Vantas, Cronus Ampora, Jade Harley"
"Doc Scratch, The Condesce, Feferi Peixes"
"Eridan Ampora, Equius Zahhak, Bro Strider"
"Vriska Serket, Aranea Serket, Meenah Peixes"
"Gamzee Makara, Bro Strider, Davepeta"
"Gamzee Makara, Caliborn, Equius Zahhak"
"Equius Zahhak, Gamzee Makara, Jake English"
"Meenah Peixes, Damara Megido, Kurloz Makara"
"Gamzee Makara, Dirk Strider, Kankri Vantas"
""
"Cronus Ampora, Equius Zahhak, Horuss Zahhak"
"Cronus Ampora, Doc Scratch, Bro Strider"
"Caliborn, ARquius, Horuss Zahhak"
"Kankri Vantas, Eridan Ampora, Bro Strider"
"Cronus Ampora, Eridan Ampora, Kankri Vantas"
"Cronus Ampora, Eridan Ampora, Lord English"
"Meenah Peixes, Equius Zahhak, Gamzee Makara"
"Karkat Vantas, Eridan Ampora, Doc Scratch"
"Lord English, Eridan Ampora, Lil Hal"
"Jane Crocker, Horuss Zahhak, Jasprose"
"Becquerel, Jake English, Vriska Serket"
"Vriska Serket, Aranea Serket, Kanaya Maryam"
"Gamzee Makara, Kurloz Makara, Terezi Pyrope"
"Equius Zahhak, Vriska Serket, Aranea Serket"
"Eridan Ampora, Gamzee Makara, Porrim Maryam"
"Damara Megido, Cronus Ampora, Eridan Ampora"
"Gamzee Makara, Caliborn, Lil Hal"
"Cronus Ampora, Eridan Ampora, Bro Strider"
"Gamzee Makara, Kurloz Makara, Damara Megido"
""
"Tavros Nitram, Equius Zahhak, Gamzee Makara"
"Doc Scratch, ARquius, Equius Zahhak"
"Gamzee Makara, Bro Strider, Cronus Ampora"
"Cronus Ampora, Doc Scratch, Lord English"
"Gamzee Makara, Lord English, Jane Crocker"
"Doc Scratch, Horuss Zahhak, Eridan Ampora"
"Jane Crocker, Dirk Strider, Aranea Serket"
"Tavros Nitram, Lil Hal, Lord English"
"Dirk Strider, Lil Hal, Dad Egbert"
"Tavros Nitram, Bro Strider, Cronus Ampora"
"Doc Scratch, Dirk Strider, Lord English"
"Gamzee Makara, Meenah Peixes, Latula Pyrope"
"Gamzee Makara, Meenah Peixes, Lord English"
"Vriska Serket, Bro Strider, Caliborn"
"AR, Cronus Ampora, Karkat Vantas"
"Gamzee Makara, Cronus Ampora, Lord English"
"Eridan Ampora, Doc Scratch, Jake English"
"Calliope, Kankri Vantas, Cronus Ampora"
"Gamzee Makara, Eridan Ampora, Cronus Ampora"
"Vriska Serket, Jake English, Dirk Strider"
""
"Vriska Serket, Cronus Ampora, Doc Scratch"
"Eridan Ampora, Equius Zahhak, Horuss Zahhak"
"Bro Strider, ARquius, Damara Megido"
"Vriska Serket, Eridan Ampora, Caliborn"
"Feferi Peixes, Latula Pyrope, Kankri Vantas"
""
"Vriska Serket, Feferi Peixes, Karkat Vantas"
"Damara Megido, Porrim Maryam, Rufioh Nitram"
"Cronus Ampora, Rufioh Nitram, Jake English"
"Vriska Serket, Equius Zahhak, Gamzee Makara"
"Horuss Zahhak, Aranea Serket, Hussie's self insert"
"Vriska Serket, Lord English, Doc Scratch"
"Feferi Peixes, The Condesce, Kanaya Maryam"
"Cronus Ampora, John Egbert, Bro Strider"
"Eridan Ampora, Caliborn, Dirk Strider"
""
""
"Cronus Ampora, Rufioh Nitram, Horuss Zahhak"
"John Egbert, Dad Egbert, Horuss Zahhak"
"Eridan Ampora, Doc Scratch, Cronus Ampora"
""
"Bro Strider, Jake English, Aranea Serket"
"Tavros Nitram, Vriska Serket, Gamzee Makara"
"Kankri Vantas, Vriska Serket, Cronus Ampora"
"Vriska Serket, Gamzee Makara, Eridan Ampora"
"Vriska Serket, Damara Megido, Jane Crocker"
""
""
"Vriska Serket, Aranea Serket, Meenah Peixes"
"Vriska Serket, Eridan Ampora, Cronus Ampora"
"Eridan Ampora, Horuss Zahhak, Damara Megido"
"Kankri Vantas, Tavros Nitram, Lil Hal"
"Equius Zahhak, Kankri Vantas, Tavros Nitram"
"Gamzee Makara, Caliborn, Equius Zahhak"
"Porrim Maryam, Davepeta, Jasprose"
"Cronus Ampora, Bro Strider, Eridan Ampora"
"Feferi Peixes, Doc Scratch, Calliope"
"ARquius, Cronus Ampora, Other"
"John Egbert, Cronus Ampora, Caliborn"
"Lil Hal, Lord English, Doc Scratch"
"Tavros Nitram, Sollux Captor, Mituna Captor"
"Cronus Ampora, AR, Lil Hal"
"Cronus Ampora, Davepeta, Calliope"
"Vriska Serket, Aranea Serket, Lil Hal"
"Eridan Ampora, Jack Noir (B1), The Condesce"
"Bro Strider, Cronus Ampora, Eridan Ampora"
""
""
"Lil Hal, Lord English, Jane Crocker"
"Cronus Ampora, Equius Zahhak, Eridan Ampora"
"Eridan Ampora, Bro Strider, Jane Crocker"
"Dirk Strider, Jane Crocker, Jake English"
"Gamzee Makara, Karkat Vantas, Sollux Captor"
"Eridan Ampora, Gamzee Makara, Cronus Ampora"
"Equius Zahhak, Lord English, Gamzee Makara"
