Select your 3 least favorite characters!
"Gamzee Makara, Vriska Serket, Eridan Ampora"
"Bro Strider, Lord English, Eridan Ampora"
"Vriska Serket, Jack Noir (B1), Eridan Ampora"
"Damara Megido, Porrim Maryam, Rufioh Nitram"
"Eridan Ampora, Gamzee Makara, Karkat Vantas"
"Vriska Serket, Cronus Ampora, Nannasprite"
"Doc Scratch, Lord English, Caliborn"
"Damara Megido, WV (sigh... ""The Mayor""), Doc Scratch"
"Kurloz Makara, Damara Megido, Mituna Captor"
"Vriska Serket, Feferi Peixes, Lord English"
"WV (sigh... ""The Mayor""), Mom Lalonde, Doc Scratch"
"Bro Strider, Gamzee Makara, Kankri Vantas"
"Equius Zahhak, Bro Strider, Eridan Ampora"
"Equius Zahhak, Jake English, Eridan Ampora"
"Dirk Strider, Calliope, Mituna Captor"
"Cronus Ampora, Tavros Nitram, Kankri Vantas"
"Cronus Ampora, Mituna Captor, Kankri Vantas"
"Eridan Ampora, Doc Scratch, Caliborn"
"Bro Strider, Meenah Peixes, Caliborn"
"Gamzee Makara, Terezi Pyrope, Caliborn"
"Vriska Serket, Gamzee Makara, Bro Strider"
"Eridan Ampora, Equius Zahhak, Jake English"
"Gamzee Makara, Tavros Nitram, Jake English"
"Equius Zahhak, Grandpa Harley, Dirk Strider"
"Horuss Zahhak, Cronus Ampora, Caliborn"
"Cronus Ampora, Jake English, Bro Strider"
"Doc Scratch, Lord English, Kankri Vantas"
"Cronus Ampora, Meenah Peixes, Doc Scratch"
"Kurloz Makara, Damara Megido, Cronus Ampora"
"Vriska Serket, Lil Hal, Caliborn"
"Lil Hal, Jane Crocker, Jake English"
""
""
"Tavros Nitram, Jake English, Mituna Captor"
"Tavros Nitram, Horuss Zahhak, Cronus Ampora"
"Kankri Vantas, Equius Zahhak, Jake English"
"Equius Zahhak, Horuss Zahhak, Jane Crocker"
"Doc Scratch, Bro Strider, Grandpa Harley"
"Jade Harley, Calliope, Feferi Peixes"
"Bro Strider, ARquius, Grandpa Harley"
"Bro Strider, Doc Scratch, Dirk Strider"
"Vriska Serket, Lord English, Doc Scratch"
"Horuss Zahhak, Doc Scratch, Aranea Serket"
"Vriska Serket, Aranea Serket, Dirk Strider"
"Gamzee Makara, Eridan Ampora, Tavros Nitram"
"Horuss Zahhak, Damara Megido, Cronus Ampora"
"Gamzee Makara, Lord English, The Condesce"
"Cronus Ampora, Dirk Strider, Eridan Ampora"
"Tavros Nitram, Lord English, Caliborn"
"Davepeta, Cronus Ampora, Jadesprite"
"Cronus Ampora, Mituna Captor, Gamzee Makara"
"Karkat Vantas, Aranea Serket, Kankri Vantas"
"Tavros Nitram, Jake English, Davepeta"
